id,group_id,name,definition,binding,interop,interop_reason,interop_uses,sort
net.admission,net,Deciding whether to admit an arrival,"A destination's pre-arrival approval or refusal response, including any validity limit and optional explanatory information.",connect,must,"A traveller or agent cannot safely complete entry unless the origin and destination understand the destination's approval, refusal and validity conditions.","U3,U4",147
render.compute,render,General-purpose GPU computation,Dispatching programmable non-raster GPU workloads against resources available through the graphics-compute API.,build,none,Choosing and dispatching internal GPU computation does not require agreement between the systems that exchange an asset.,,148
render.frame-timing,render,Frame pacing and predicted display time,Coordinating frame submission with predicted display timing and the view poses associated with that time.,connect,should,Disagreement between an arriving application and the device runtime about display timing degrades the view through stale poses or poor frame pacing.,U3,149
render.shader-lang,render,Portable shader language,A specified shader source language and execution semantics enabling implementations to consume the same shader program.,build,should,"An asset can still load with fallback materials when its shaders are not understood, but authored appearance degrades.","U1,U2",150
scene.parametric,scene,Exact and parametric geometry,Carrying parametric curves and surfaces in mathematical form so a receiver can evaluate or tessellate them.,build,must,A receiver that cannot evaluate the transmitted curves and surfaces cannot reconstruct an asset whose geometry is carried in that form.,U1,151
scene.particle,scene,Emitter-based effects,Exchanging particle-system emitters and simulation/rendering parameters that a receiving runtime evaluates.,build,should,Losing an exchanged emitter's parameters removes or changes visual effects while the containing asset or avatar can still arrive.,"U1,U2",152
scene.provenance-recovery,scene,Recovering a stripped provenance record,Locating associated provenance through a supported content fingerprint or watermark when embedded association has been lost.,connect,should,A stripped provenance record weakens trust in an arriving asset while the asset remains usable.,"U1,U3",153
scene.style,scene,Declarative styling carried apart from the content,"Separately expressed styling rules that select feature visibility, color, or other supported display properties from content metadata.",build,should,"Without shared styling rules, a moved scene can still load while its metadata-driven visibility and appearance change.",U1,154
scene.variant,scene,Selectable variants of an asset,"Named alternatives of an asset's authored configuration, with a defined selection mechanism.",build,should,"A default asset can arrive when variant selection is lost, but the chosen configuration of the asset or avatar changes.","U1,U2",155
scene.voxel,scene,Voxel volumes,"Interchanging spatial cell volumes and their properties, including updates, as a scene representation.",build,must,A receiver that cannot decode the exchanged cells and their properties cannot reconstruct content represented as a voxel volume.,U1,156
sense.hit-test,sense,Hit test against the real world,Asking a sensing runtime for ray intersections with its estimate of physical surroundings and receiving hit poses.,connect,should,"A disagreement about sensing hit results makes placement and interaction worse, while manual placement can keep the experience usable.","U1,U3",157
sense.privacy,sense,Privacy terms on sensed data,"Sensed-data disclosure controls such as spatial coarsening, payload use/retention declarations, and restricted or pseudonymous pose publication.",connect,should,"Without shared sensed-data disclosure terms, content, avatars, travellers and agents can still operate but may expose more data than intended.","U1,U2,U3,U4",158
input.event-device,input,Musical event-device input,"Receiving typed musical instrument events with channel, note or control identifiers and values through a documented device or recorded-event input interface.",connect,should,"Without an agreed musical-event interface, an arriving performance or interactive experience loses instrument input while other interaction paths remain.","U1,U3",159
capture.radiance-training,capture,Radiance-field reconstruction,"Reconstructing a radiance field or Gaussian representation from observed images and camera information, including optimization controls and a trained scene usable for subsequent view synthesis.",build,none,"The fitting method stays inside the capture tool, while the resulting field crosses through the separate representation and format capabilities.",,160
capture.objectgen,capture,Generation of individual 3D objects,"Producing an individual three-dimensional object from a text or image prompt, with geometry or another renderable representation available for placement in a separately authored scene.",build,none,"The generation method stays inside one tool, while its placeable output travels through the ordinary asset and representation capabilities.",,161
